IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
熊孩子,14,Top Laner,China,Young Glory,,Gragas,Jax,Kayle,LPL
音符,14,Jungler,China,Young Glory,1996-03-08,Jarvan IV,Skarner,Elise,LPL
?健棍,14,Mid Laner,China,Young Glory,,Yasuo,Zed,Lulu,LPL
??,14,Bot Laner,China,Young Glory,,Kog'Maw,Lucian,Vayne,LPL
言SIR,14,Support,China,Young Glory,,Leona,Braum,Morgana,LPL
PDD,13,Top Laner,China,Invictus Gaming,1991-04-17,Rumble,Zac,Renekton,LPL
ILLUSION,13,Jungler,China,Invictus Gaming,1990-08-09,Hecarim,Jarvan IV,Elise,LPL
ZZ1TAI,13,Mid Laner,China,Invictus Gaming,1997-08-25,Karthus,Twisted Fate,Diana,LPL
KID,13,Bot Laner,China,Invictus Gaming,1997-08-23,Vayne,Varus,Miss Fortune,LPL
XIAOXIAO,13,Support,China,Invictus Gaming,1988-03-24,Thresh,Sona,Lulu,LPL
GOGOING,13,Top Laner,China,Oh My God,1991-10-02,Renekton,Zac,Elise,LPL
BIGPOMELO,13,Jungler,China,Oh My God,1992-10-18,Blitzcrank,Nami,Volibear,LPL
COOL,13,Mid Laner,China,Oh My God,1994-08-03,Orianna,Ahri,Zed,LPL
SAN,13,Bot Laner,China,Oh My God,1993-01-16,Caitlyn,Vayne,Graves,LPL
LOVELIN,13,Support,China,Oh My God,1993-05-01,Lee Sin,Thresh,Sona,LPL
LIGHTALUKA,13,Top Laner,China,Positive Energy,1995-02-12,Kennen,Renekton,Rumble,LPL
ZIV,13,Jungler,China,Positive Energy,,Nunu,Vi,Volibear,LPL
JING,13,Jungler,China,Positive Energy,,Lee Sin,Jarvan IV,Elise,LPL
JOJO,13,Mid Laner,China,Positive Energy,1999-11-30,Zed,Gragas,Jayce,LPL
NAMEI,13,Bot Laner,China,Positive Energy,1993-05-04,Varus,Vayne,Twitch,LPL
SICCA,13,Support,China,Positive Energy,,Sona,Thresh,Lulu,LPL
HZGODLIKE,13,Top Laner,China,Royal Club,1993-05-12,Renekton,Shen,Elise,LPL
LUCKY,13,Jungler,China,Royal Club,,Jarvan IV,Elise,Lee Sin,LPL
WH1T3ZZ,13,Mid Laner,China,Royal Club,1993-08-11,Fizz,Ryze,Zed,LPL
UZI,13,Bot Laner,China,Royal Club,1997-04-05,Caitlyn,Vayne,Twitch,LPL
RUI,13,Support,China,Royal Club,,Sona,Thresh,Janna,LPL
ATU,13,Support,Taiwan,Royal Club,,Thresh,Sona,Lulu,LPL
DREAMS,13,Top Laner,China,Team Livemore,,Malphite,Shen,Kennen,LPL
WAYOFF,13,Jungler,China,Team Livemore,,Hecarim,Lee Sin,Shen,LPL
SNOWY,13,Mid Laner,China,Team Livemore,,Ryze,Diana,Zed,LPL
F1SH,13,Bot Laner,China,Team Livemore,1994-05-11,Caitlyn,Kog'Maw,Vayne,LPL
DRAGON,13,Support,China,Team Livemore,,Zyra,Thresh,Lulu,LPL
CAOMEI,13,Top Laner,China,Team WE,1991-12-26,Kennen,Rumble,Renekton,LPL
TROLL,13,Jungler,China,Team WE,1993-07-25,Lee Sin,Jarvan IV,Hecarim,LPL
MISAYA,13,Mid Laner,China,Team WE,1992-10-19,Karthus,Ryze,Twisted Fate,LPL
WX,13,Bot Laner,China,Team WE,1992-06-18,Caitlyn,Ezreal,Varus,LPL
FZZF,13,Support,China,Team WE,1991-07-24,Thresh,Sona,Blitzcrank,LPL
EASY,13,Top Laner,China,Wayi Spider China,,Rumble,Shen,Vi,LPL
BSYY,13,Jungler,China,Wayi Spider China,1991-11-07,Jarvan IV,Vi,Hecarim,LPL
LEAF,13,Mid Laner,China,Wayi Spider China,1992-09-27,Lux,Twisted Fate,Ryze,LPL
SS,13,Bot Laner,China,Wayi Spider China,,Caitlyn,Tristana,Ezreal,LPL
LEON,13,Bot Laner,China,Wayi Spider China,,Caitlyn,Jarvan IV,Varus,LPL
JUN,13,Support,China,Wayi Spider China,,Varus,Caitlyn,Taric,LPL
FAN,13,Support,China,Wayi Spider China,,Sona,Lulu,Thresh,LPL
YI,13,Top Laner,China,Wings of Aurora,,Rumble,Nasus,Kayle,LPL
PGGGGGG,13,Top Laner,China,Wings of Aurora,,Rumble,Zac,Renekton,LPL
HENSEN,13,Jungler,China,Wings of Aurora,,Jarvan IV,Vi,Gangplank,LPL
CHOUD1,13,Jungler,China,Wings of Aurora,,Hecarim,Volibear,Jayce,LPL
MORTRED,13,Mid Laner,China,Wings of Aurora,,Elise,Orianna,Sona,LPL
YOUMENG,13,Bot Laner,China,Wings of Aurora,,Graves,Varus,Caitlyn,LPL
HAOKAI,13,Support,China,Wings of Aurora,1991-11-14,Janna,Lulu,Fizz,LPL
LAOPI,13,Top Laner,Hong Kong,Energy Pacemaker,1988-02-17,Kennen,Elise,Lulu,LPL
BUPINGS,13,Jungler,Hong Kong,Energy Pacemaker,1993-08-10,Jarvan IV,Lee Sin,Nami,LPL
SUPERCATT,13,Mid Laner,Hong Kong,Energy Pacemaker,1994-07-20,Zed,Ahri,Gragas,LPL
KANE4357,13,Bot Laner,Hong Kong,Energy Pacemaker,1991-10-10,Caitlyn,Draven,Twitch,LPL
DOMHOXZ,13,Support,Hong Kong,Energy Pacemaker,,Shen,Thresh,Zac,LPL
DREAMS,13,Top Laner,China,LMQ,,Malphite,Shen,Kennen,LPL
NONAME,13,Jungler,China,LMQ,,Jarvan IV,Lee Sin,Elise,LPL
WAYOFF,13,Mid Laner,China,LMQ,1994-09-15,Hecarim,Lee Sin,Shen,LPL
WX,13,Mid Laner,China,LMQ,1994-05-11,Caitlyn,Ezreal,Varus,LPL
AVENGER,13,Bot Laner,China,LMQ,1994-10-27,Caitlyn,Kog'Maw,Vayne,LPL
VASILII,13,Bot Laner,China,LMQ,,Draven,Tristana,Twitch,LPL
PANDAB,13,Support,China,LMQ,1993-01-18,Nami,Thresh,Lulu,LPL
MOR,13,Support,China,LMQ,1996-03-08,Nami,Thresh,Blitzcrank,LPL
OTTO,13,Top Laner,China,Young Glory,,Shen,Jax,Zac,LPL
SYZ,13,Jungler,China,Young Glory,,Lee Sin,Shyvana,Jarvan IV,LPL
YANSIR,13,Mid Laner,China,Young Glory,,Lissandra,Zyra,Ahri,LPL
DRAGON,13,Bot Laner,China,Young Glory,1993-12-25,Vayne,Twitch,Caitlyn,LPL
LOVECRYBOY,13,Support,China,Young Glory,,Sona,Thresh,Nami,LPL
GIMGOON,16,Top Laner,South Korea,Game Talents,1995-12-31,Ekko,Poppy,Gnar,LPL
WUSHUANG,16,Jungler,China,Game Talents,,Rek'Sai,Graves,Gragas,LPL
REPUBLIC,16,Mid Laner,South Korea,Game Talents,1996-08-16,Azir,LeBlanc,Viktor,LPL
PENTAQ,16,Bot Laner,China,Game Talents,1995-10-11,Lucian,Ezreal,Jhin,LPL
SAVOKI,16,Support,China,Game Talents,,Trundle,Braum,Tahm Kench,LPL
CITY,16,Support,China,Game Talents,,Braum,Alistar,Thresh,LPL
AMAZINGJ,16,Top Laner,Hong Kong,I May,1997-11-08,Ekko,Trundle,Poppy,LPL
AVOIDLESS,16,Jungler,Hong Kong,I May,1994-05-13,Elise,Rek'Sai,Gragas,LPL
MITTY,16,Jungler,China,I May,1996-05-28,Graves,Rek'Sai,Elise,LPL
ATHENA,16,Mid Laner,South Korea,I May,1995-10-19,Kassadin,Malzahar,Varus,LPL
BAEME,16,Mid Laner,South Korea,I May,1993-10-27,Twisted Fate,LeBlanc,Lux,LPL
JINJIAO,16,Bot Laner,China,I May,1998-04-15,Jhin,Sivir,Lucian,LPL
ROAD,16,Support,South Korea,I May,1995-09-30,Bard,Braum,Thresh,LPL
V,16,Top Laner,China,Newbee,1994-10-25,Poppy,Maokai,Fiora,LPL
SWIFT,16,Jungler,South Korea,Newbee,1996-05-29,Rek'Sai,Graves,Nidalee,LPL
DADE,16,Mid Laner,South Korea,Newbee,1994-11-08,Viktor,Twisted Fate,Azir,LPL
HAPPYY,16,Bot Laner,China,Newbee,1994-05-11,Sivir,Ezreal,Jhin,LPL
MORZB,16,Support,China,Newbee,1993-01-18,Braum,Alistar,Bard,LPL
ACORN,16,Top Laner,South Korea,Saint Gaming,1990-07-13,Rumble,Swain,Irelia,LPL
MARCH,16,Jungler,China,Saint Gaming,1995-03-15,Rek'Sai,Graves,Elise,LPL
CAPTAIN,16,Jungler,China,Saint Gaming,,Rek'Sai,Gragas,Graves,LPL
CHIMIN,16,Jungler,South Korea,Saint Gaming,,Graves,Gragas,Kindred,LPL
SNOOPY,16,Mid Laner,South Korea,Saint Gaming,1996-04-14,Viktor,Azir,Ryze,LPL
OTTO,16,Mid Laner,China,Saint Gaming,1996-03-08,Malzahar,Taliyah,Viktor,LPL
XQ,16,Bot Laner,China,Saint Gaming,,Lucian,Kalista,Jhin,LPL
STYZ,16,Bot Laner,China,Saint Gaming,1995-04-25,Ezreal,Caitlyn,Jhin,LPL
X1U,16,Support,China,Saint Gaming,,Thresh,Alistar,Braum,LPL
MAIDONG,16,Support,China,Saint Gaming,1990-12-22,Thresh,Karma,Braum,LPL
LIES,17,Top Laner,China,DAN Gaming,1997-12-28,Shen,Maokai,Rumble,LPL
MOYU,17,Top Laner,China,DAN Gaming,1997-08-23,Gragas,Renekton,Shen,LPL
KARIN,17,Jungler,South Korea,DAN Gaming,,Kha'Zix,Graves,Rengar,LPL
FISHBALL,17,Jungler,China,DAN Gaming,1996-12-17,Rek'Sai,Gragas,Lee Sin,LPL
GGOONG,17,Mid Laner,South Korea,DAN Gaming,1993-06-26,Taliyah,Ahri,Aurelion Sol,LPL
QI,17,Mid Laner,China,DAN Gaming,1996-06-28,Viktor,Syndra,Corki,LPL
QIUQIU,17,Bot Laner,China,DAN Gaming,1998-04-17,Jhin,Varus,Caitlyn,LPL
NATZ,17,Bot Laner,South Korea,DAN Gaming,,Kalista,Kog'Maw,Ashe,LPL
CAT,17,Support,China,DAN Gaming,1995-08-11,Thresh,Zyra,Tahm Kench,LPL
FAGE,17,Support,China,DAN Gaming,,Rakan,Alistar,Galio,LPL
KABE,17,Top Laner,Hong Kong,JD Gaming,1994-10-12,Shen,Maokai,Nautilus,LPL
CLID,17,Jungler,South Korea,JD Gaming,1999-07-07,Lee Sin,Rengar,Kha'Zix,LPL
XINYI,17,Jungler,China,JD Gaming,1995-04-04,Gragas,Rek'Sai,Jarvan IV,LPL
DOINB,17,Mid Laner,South Korea,JD Gaming,1996-12-30,Karma,Ryze,Orianna,LPL
BARRETT,17,Bot Laner,China,JD Gaming,,Kalista,Kog'Maw,Ashe,LPL
LOKEN,17,Bot Laner,South Korea,JD Gaming,1998-02-14,Varus,Kalista,Caitlyn,LPL
CLOUD,17,Support,China,JD Gaming,1996-03-07,Thresh,Bard,Malzahar,LPL
LVMAO,17,Support,China,JD Gaming,1997-09-19,Braum,Thresh,Lulu,LPL
XIAOAL,17,Top Laner,China,Suning,1998-08-03,Camille,Rumble,Maokai,LPL
LZ,17,Top Laner,China,Suning,1994-05-13,Poppy,Rumble,0,LPL
AVOIDLESS,17,Jungler,Hong Kong,Suning,1999-01-15,Graves,Elise,Gragas,LPL
H4CKER,17,Jungler,China,Suning,1996-06-22,Lee Sin,Graves,Kha'Zix,LPL
DIAN,17,Mid Laner,China,Suning,1998-08-29,Orianna,Jayce,Syndra,LPL
FENFEN,17,Mid Laner,China,Suning,1995-11-11,Kassadin,Galio,Lucian,LPL
FURY,17,Bot Laner,South Korea,Suning,1997-01-14,Ashe,Varus,Jhin,LPL
BANANAFISH,17,Bot Laner,China,Suning,1996-07-04,Kog'Maw,Kalista,Caitlyn,LPL
YOON,17,Support,South Korea,Suning,,Thresh,Tahm Kench,Zyra,LPL
BRAIN,17,Support,China,Suning,,Alistar,Lulu,Blitzcrank,LPL
FINN,23,Top Laner,Sweden,Astralis,1999-06-03,Jax,Renekton,K'Sante,LEC
113,23,Jungler,Turkey,Astralis,2004-08-12,Sejuani,Viego,Maokai,LEC
LIDER,23,Mid Laner,Norway,Astralis,1999-07-03,Sylas,Irelia,Zed,LEC
KOBBE,23,Bot Laner,Denmark,Astralis,1996-09-21,Xayah,Lucian,Varus,LEC
JEONGHOON,23,Support,South Korea,Astralis,2000-02-22,Nautilus,Nami,Ashe,LEC
ODOAMNE,23,Top Laner,Romania,Excel,1995-01-18,K'Sante,Gnar,Sion,LEC
XERXE,23,Jungler,Romania,Excel,1999-11-05,Maokai,Sejuani,Wukong,LEC
VETHEO,23,Mid Laner,France,Excel,2002-07-26,Ahri,Kai'Sa,LeBlanc,LEC
ABBEDAGGE,23,Mid Laner,Germany,Excel,1999-09-10,Azir,Jayce,Ahri,LEC
PATRIK,23,Bot Laner,Czech Republic,Excel,2000-04-07,Xayah,Zeri,Kai'Sa,LEC
LIMIT,23,Support,Croatia,Excel,1997-12-27,Nautilus,Rakan,Rell,LEC
OSCARININ,23,Top Laner,Spain,Fnatic,2003-06-11,Jax,Ornn,K'Sante,LEC
RAZORK,23,Jungler,Spain,Fnatic,2000-10-07,Maokai,Sejuani,Ivern,LEC
HUMANOID,23,Mid Laner,Czech Republic,Fnatic,2000-03-14,Azir,Jayce,Syndra,LEC
REKKLES,23,Support,Sweden,Fnatic,1996-09-20,Varus,Xayah,Sivir,LEC
ADVIENNE,23,Support,Netherlands,Fnatic,1997-05-11,Nautilus,Lulu,Braum,LEC
BROKENBLADE,23,Top Laner,Germany,G2 Esports,2000-01-19,Jax,K'Sante,Olaf,LEC
YIKE,23,Jungler,Sweden,G2 Esports,2000-11-11,Maokai,Rell,Bel'Veth,LEC
CAPS,23,Mid Laner,Denmark,G2 Esports,1999-11-17,Jayce,Tristana,Neeko,LEC
HANS SAMA,23,Bot Laner,France,G2 Esports,1999-09-02,Kai'Sa,Jinx,Draven,LEC
MIKYX,23,Support,Slovenia,G2 Esports,1998-11-02,Nautilus,Braum,Rakan,LEC
SZYGENDA,23,Top Laner,Denmark,KOI,2001-04-14,Gnar,K'Sante,Jayce,LEC
MALRANG,23,Jungler,South Korea,KOI,2000-02-09,Sejuani,Vi,Lee Sin,LEC
LARSSEN,23,Mid Laner,Sweden,KOI,2000-03-30,Azir,Sylas,Tristana,LEC
COMP,23,Bot Laner,Greece,KOI,2001-12-20,Zeri,Sivir,Lucian,LEC
TRYMBI,23,Support,Spain,KOI,2000-10-20,Nautilus,Rakan,Alistar,LEC
CHASY,23,Top Laner,South Korea,MAD Lions,2001-04-20,K'Sante,Jayce,Gnar,LEC
ELYOYA,23,Jungler,Spain,MAD Lions,2000-03-13,Vi,Sejuani,Wukong,LEC
NISQY,23,Mid Laner,Belgium,MAD Lions,1998-07-28,Gragas,Azir,Ahri,LEC
CARZZY,23,Bot Laner,Czech Republic,MAD Lions,2002-01-31,Xayah,Aphelios,Varus,LEC
HYLISSANG,23,Support,Bulgaria,MAD Lions,1995-04-30,Rakan,Rell,Nautilus,LEC
IRRELEVANT,23,Top Laner,Germany,SK Gaming,2001-10-22,Gnar,Jax,Renekton,LEC
MARKOON,23,Jungler,Netherlands,SK Gaming,2002-06-28,Sejuani,Vi,Maokai,LEC
SERTUSS,23,Mid Laner,Germany,SK Gaming,2001-12-23,Akali,Azir,Sylas,LEC
EXAKICK,23,Bot Laner,France,SK Gaming,2003-09-28,Zeri,Aphelios,Xayah,LEC
DOSS,23,Support,Denmark,SK Gaming,1999-03-19,Lulu,Rakan,Nautilus,LEC
ADAM,23,Top Laner,France,Team BDS,2001-12-30,Renekton,Darius,Olaf,LEC
SHEO,23,Jungler,France,Team BDS,2001-07-05,Sejuani,Maokai,Vi,LEC
NUC,23,Mid Laner,France,Team BDS,2002-10-17,Azir,Cassiopeia,Syndra,LEC
CROWNIE,23,Bot Laner,Slovenia,Team BDS,1998-04-17,Zeri,Xayah,Ezreal,LEC
LABROV,23,Support,Greece,Team BDS,2002-02-12,Rakan,Lulu,Alistar,LEC
EVI,23,Top Laner,Japan,Team Heretics,1995-11-15,K'Sante,Renekton,Sion,LEC
JANKOS,23,Jungler,Poland,Team Heretics,1995-07-23,Wukong,Vi,Maokai,LEC
RUBY,23,Mid Laner,South Korea,Team Heretics,1998-08-11,Azir,Viktor,Ahri,LEC
JACKSPEKTRA,23,Bot Laner,Norway,Team Heretics,2000-12-05,Aphelios,Zeri,Kai'Sa,LEC
MERSA,23,Support,Greece,Team Heretics,2002-08-22,Nautilus,Rakan,Nami,LEC
PHOTON,23,Top Laner,South Korea,Team Vitality,2001-11-30,Gwen,Renekton,Jax,LEC
BO,23,Jungler,China,Team Vitality,2002-03-02,Vi,Sejuani,Maokai,LEC
PERKZ,23,Mid Laner,Croatia,Team Vitality,1998-09-30,Azir,Tristana,Annie,LEC
UPSET,23,Bot Laner,Germany,Team Vitality,1999-12-16,Zeri,Xayah,Aphelios,LEC
KAISER,23,Support,Germany,Team Vitality,1998-11-19,Nautilus,Rakan,Lulu,LEC
WHITEKNIGHT,22,Top Laner,Finland,Astralis,1996-02-16,Ornn,Gnar,Graves,LEC
ZANZARAH,22,Jungler,Russia,Astralis,1996-08-27,Poppy,Trundle,Jarvan IV,LEC
DAJOR,22,Mid Laner,Germany,Astralis,2003-04-18,Vex,Orianna,Ryze,LEC
KOBBE,22,Bot Laner,Denmark,Astralis,1996-09-21,Zeri,Jinx,Aphelios,LEC
PROMISQ,22,Support,Sweden,Astralis,1994-03-04,Leona,Rakan,Nami,LEC
FINN,22,Top Laner,Sweden,Excel,1999-06-03,Gwen,Gangplank,Gnar,LEC
MARKOON,22,Jungler,Netherlands,Excel,2002-06-28,Xin Zhao,Wukong,Trundle,LEC
NUKEDUCK,22,Mid Laner,Denmark,Excel,1996-05-21,Lissandra,Corki,Ahri,LEC
PATRIK,22,Bot Laner,Czech Republic,Excel,2000-04-07,Jinx,Aphelios,Sivir,LEC
ADVIENNE,22,Support,Netherlands,Excel,1997-05-11,Lulu,Renata Glasc,Leona,LEC
MIKYX,22,Support,Slovenia,Excel,1998-11-02,Yuumi,Lulu,Nautilus,LEC
WUNDER,22,Top Laner,Denmark,Fnatic,1998-11-09,Gragas,Gwen,Ornn,LEC
RAZORK,22,Jungler,Spain,Fnatic,2000-10-07,Viego,Poppy,Trundle,LEC
HUMANOID,22,Mid Laner,Czech Republic,Fnatic,2000-03-14,Viktor,LeBlanc,Twisted Fate,LEC
UPSET,22,Bot Laner,Germany,Fnatic,1999-12-16,Aphelios,Zeri,Lucian,LEC
HYLISSANG,22,Support,Hungary,Fnatic,1995-04-30,Nami,Renata Glasc,Nautilus,LEC
BROKENBLADE,22,Top Laner,Germany,G2 Esports,2000-01-19,Gwen,Ornn,Gnar,LEC
JANKOS,22,Jungler,Poland,G2 Esports,1995-07-23,Jarvan IV,Wukong,Viego,LEC
CAPS,22,Mid Laner,Denmark,G2 Esports,1999-11-17,Ahri,Sylas,LeBlanc,LEC
FLAKKED,22,Bot Laner,Spain,G2 Esports,2001-04-25,Aphelios,Jinx,Zeri,LEC
TARGAMAS,22,Support,Belgium,G2 Esports,2000-06-30,Rakan,Nautilus,Renata Glasc,LEC
ARMUT,22,Top Laner,Turkey,MAD Lions,1998-12-13,Gnar,Aatrox,Gwen,LEC
ELYOYA,22,Jungler,Spain,MAD Lions,2000-03-13,Trundle,Lee Sin,Wukong,LEC
REEKER,22,Mid Laner,Germany,MAD Lions,2001-05-15,Viktor,Taliyah,Azir,LEC
UNF0RGIVEN,22,Bot Laner,Sweden,MAD Lions,2000-08-23,Jinx,Zeri,Aphelios,LEC
KAISER,22,Support,Germany,MAD Lions,1998-11-19,Nautilus,Leona,Alistar,LEC
HIRIT,22,Top Laner,South Korea,Misfits Gaming,1998-07-24,Camille,Gnar,Gwen,LEC
SHLATAN,22,Jungler,Poland,Misfits Gaming,2001-07-23,Lee Sin,Viego,Xin Zhao,LEC
VETHEO,22,Mid Laner,France,Misfits Gaming,2002-07-26,Sylas,Akali,Corki,LEC
NEON,22,Bot Laner,Slovakia,Misfits Gaming,1999-04-24,Jinx,Sivir,Zeri,LEC
MERSA,22,Support,Greece,Misfits Gaming,2002-08-22,Leona,Nautilus,Thresh,LEC
ODOAMNE,22,Top Laner,Romania,Rogue,1995-01-18,Ornn,Gnar,Renekton,LEC
MALRANG,22,Jungler,South Korea,Rogue,2000-02-09,Jarvan IV,Trundle,Lee Sin,LEC
LARSSEN,22,Mid Laner,Sweden,Rogue,2000-03-30,Azir,Viktor,Orianna,LEC
COMP,22,Bot Laner,Greece,Rogue,2001-12-20,Lucian,Aphelios,Kalista,LEC
TRYMBI,22,Support,Spain,Rogue,2000-10-20,Rakan,Nami,Lulu,LEC
JENAX,22,Top Laner,Germany,SK Gaming,1998-12-10,Graves,Gnar,Gragas,LEC
GILIUS,22,Jungler,Germany,SK Gaming,1997-01-05,Jarvan IV,Lee Sin,Hecarim,LEC
SERTUSS,22,Mid Laner,Germany,SK Gaming,2001-12-23,LeBlanc,Akali,Orianna,LEC
JEZU,22,Bot Laner,France,SK Gaming,2000-07-27,Jinx,Aphelios,Ezreal,LEC
TREATZ,22,Support,Sweden,SK Gaming,1996-04-30,Nautilus,Leona,Renata Glasc,LEC
ADAM,22,Top Laner,France,Team BDS,2001-12-30,Gnar,Olaf,Aatrox,LEC
CINKROF,22,Jungler,Poland,Team BDS,1997-08-09,Xin Zhao,Jarvan IV,Wukong,LEC
NUCLEARINT,22,Mid Laner,France,Team BDS,2002-10-17,LeBlanc,Ahri,Ryze,LEC
XMATTY,22,Bot Laner,United Kingdom,Team BDS,1999-07-16,Aphelios,Ezreal,Jinx,LEC
LIMIT,22,Support,Croatia,Team BDS,1997-12-27,Leona,Nautilus,Tahm Kench,LEC
ALPHARI,22,Top Laner,United Kingdom,Team Vitality,1999-10-20,Gnar,Gangplank,Camille,LEC
SELFMADE,22,Jungler,Poland,Team Vitality,1999-12-15,Xin Zhao,Olaf,Lee Sin,LEC
PERKZ,22,Mid Laner,Croatia,Team Vitality,1998-09-30,Ahri,Orianna,Corki,LEC
CARZZY,22,Bot Laner,Czech Republic,Team Vitality,2002-01-31,Aphelios,Jinx,Xayah,LEC
LABROV,22,Support,Greece,Team Vitality,2002-02-12,Tahm Kench,Thresh,Renata Glasc,LEC
WHITEKNIGHT,21,Top Laner,Finland,Astralis,1996-02-16,Lee Sin,Renekton,Dr. Mundo,LEC
ZANZARAH,21,Jungler,Russia,Astralis,1996-08-27,Trundle,Hecarim,Skarner,LEC
NUKEDUCK,21,Mid Laner,Norway,Astralis,1996-05-21,Twisted Fate,Lucian,Orianna,LEC
MAGIFELIX,21,Mid Laner,Sweden,Astralis,2000-02-27,Orianna,Sylas,Corki,LEC
JESKLA,21,Bot Laner,Sweden,Astralis,2000-07-08,Kai'Sa,Tristana,Aphelios,LEC
PROMISQ,21,Support,Sweden,Astralis,1994-03-04,Alistar,Rell,Thresh,LEC
KRYZE,21,Top Laner,Sweden,Excel,1999-07-01,Renekton,Sion,Gwen,LEC
DAN,21,Jungler,United Kingdom,Excel,1996-09-11,Lillia,Diana,Graves,LEC
CZEKOLAD,21,Mid Laner,Poland,Excel,2000-02-15,Syndra,Orianna,Azir,LEC
PATRIK,21,Bot Laner,Czech Republic,Excel,2000-04-07,Kai'Sa,Xayah,Aphelios,LEC
TORE,21,Support,Norway,Excel,1999-12-27,Thresh,Leona,Rakan,LEC
BROKENBLADE,21,Top Laner,Germany,Schalke 04,2000-01-19,Gangplank,Camille,Darius,LEC
GILIUS,21,Jungler,Germany,Schalke 04,1997-01-05,Udyr,Hecarim,Pantheon,LEC
ABBEDAGGE,21,Mid Laner,Germany,Schalke 04,1999-09-10,Ryze,Orianna,Azir,LEC
NEON,21,Bot Laner,Slovakia,Schalke 04,1999-04-24,Kai'Sa,Xayah,Aphelios,LEC
LIMIT,21,Support,Croatia,Schalke 04,1997-12-27,Alistar,Rell,Gragas,LEC
BWIPO,21,Top Laner,Belgium,Fnatic,1998-12-24,Viego,Trundle,Gragas,LEC
SELFMADE,21,Jungler,Poland,Fnatic,1999-12-15,Rumble,Lee Sin,Udyr,LEC
NISQY,21,Mid Laner,Belgium,Fnatic,1998-07-28,Twisted Fate,Sylas,Ryze,LEC
UPSET,21,Bot Laner,Germany,Fnatic,1999-12-16,Kai'Sa,Tristana,Xayah,LEC
HYLISSANG,21,Support,Bulgaria,Fnatic,1995-04-30,Rakan,Rell,Alistar,LEC
WUNDER,21,Top Laner,Denmark,G2 Esports,1998-11-09,Gragas,Sion,Camille,LEC
JANKOS,21,Jungler,Poland,G2 Esports,1995-07-23,Lee Sin,Olaf,Xin Zhao,LEC
CAPS,21,Mid Laner,Denmark,G2 Esports,1999-11-17,Orianna,Lucian,Twisted Fate,LEC
REKKLES,21,Support,Sweden,G2 Esports,1996-09-20,Jhin,Tristana,Kai'Sa,LEC
MIKYX,21,Support,Slovenia,G2 Esports,1998-11-02,Braum,Gragas,Leona,LEC
ARMUT,21,Top Laner,Turkey,MAD Lions,1998-12-13,Gnar,Wukong,Jayce,LEC
ELYOYA,21,Jungler,Spain,MAD Lions,2000-03-13,Volibear,Udyr,Rumble,LEC
HUMANOID,21,Mid Laner,Czech Republic,MAD Lions,2000-03-14,Orianna,Viktor,Twisted Fate,LEC
CARZZY,21,Bot Laner,Czech Republic,MAD Lions,2002-01-31,Kai'Sa,Ezreal,Xayah,LEC
KAISER,21,Support,Germany,MAD Lions,1998-11-19,Leona,Rakan,Nautilus,LEC
HIRIT,21,Top Laner,South Korea,Misfits Gaming,1998-07-24,Camille,Jayce,Renekton,LEC
RAZORK,21,Jungler,Spain,Misfits Gaming,2000-10-07,Lee Sin,Xin Zhao,Udyr,LEC
VETHEO,21,Mid Laner,France,Misfits Gaming,2002-07-26,Syndra,Orianna,Zoe,LEC
KOBBE,21,Bot Laner,Denmark,Misfits Gaming,1996-09-21,Kai'Sa,Tristana,Ezreal,LEC
VANDER,21,Support,Poland,Misfits Gaming,1994-04-18,Alistar,Leona,Braum,LEC
ODOAMNE,21,Top Laner,Romania,Rogue,1995-01-18,Kennen,Renekton,Jayce,LEC
INSPIRED,21,Jungler,Poland,Rogue,2002-01-24,Lillia,Viego,Udyr,LEC
LARSSEN,21,Mid Laner,Sweden,Rogue,2000-03-30,Lucian,Orianna,Azir,LEC
HANS SAMA,21,Bot Laner,France,Rogue,1999-09-02,Kalista,Varus,Kai'Sa,LEC
TRYMBI,21,Support,Spain,Rogue,2000-10-20,Rell,Rakan,Thresh,LEC
JENAX,21,Top Laner,Germany,SK Gaming,1998-12-10,Renekton,Aatrox,Gragas,LEC
TYNX,21,Jungler,Denmark,SK Gaming,1999-10-22,Hecarim,Lillia,Graves,LEC
BLUE,21,Mid Laner,Belgium,SK Gaming,2001-03-07,Syndra,Azir,Viktor,LEC
JEZU,21,Bot Laner,France,SK Gaming,2000-07-27,Tristana,Xayah,Kalista,LEC
TREATZ,21,Support,Sweden,SK Gaming,1996-04-30,Alistar,Leona,Rell,LEC
SZYGENDA,21,Top Laner,Denmark,Team Vitality,2001-04-14,Renekton,Gnar,Sett,LEC
SKEANZ,21,Jungler,France,Team Vitality,2000-09-25,Lee Sin,Viego,Xin Zhao,LEC
MILICA,21,Mid Laner,Serbia,Team Vitality,1900/01/00,Azir,LeBlanc,Orianna,LEC
COMP,21,Bot Laner,Greece,Team Vitality,2001-12-20,Kai'Sa,Ashe,Aphelios,LEC
CROWNSHOT,21,Bot Laner,Slovenia,Team Vitality,1998-04-17,Varus,Xayah,Ezreal,LEC
LABROV,21,Support,Greece,Team Vitality,2002-02-12,Alistar,Thresh,Braum,LEC
STEVE,16,Top Laner,France,Elements,1995-07-09,Gnar,Poppy,Trundle,LEC
GILIUS,16,Jungler,Germany,Elements,1997-01-05,Elise,Gragas,Lee Sin,LEC
